striker,batting_team,runs_off_bat
"N Hussain",England,127
"Yasir Shah",Pakistan,127
"Azhar Mahmood",Pakistan,126
"Mudassar Bukhari",Netherlands,126
"CE McConchie","New Zealand",126
"T Kaitano",Zimbabwe,126
Kaleemullah,Oman,125
"A Athanaze","West Indies",125
"CA Young",Ireland,125
"ML Nkala",Zimbabwe,125
"SW Masakadza",Zimbabwe,125
"H Carlyon",Jersey,125
"RJ Sidebottom",England,124
"BA Carse",England,124
"Ziaur Rahman",Bangladesh,124
"RS Kaluwitharana","Sri Lanka",124
"Dhiman Ghosh",Bangladesh,124
"MS Chapman","Hong Kong",124
"PA Jaques",Australia,123
"Usman Limbada",Canada,123
"A Nel","South Africa",123
"HC Brook",England,123
"JP Maher",Australia,122
"B Evans",Zimbabwe,121
"WG Jacks",England,121
"Riaz Hassan",Afghanistan,120
"U Bhatti",Canada,120
"K Weeraratne","Sri Lanka",120
"Mohammad Yousuf","Asia XI",120
"SC Ganguly","Asia XI",120
"M Theekshana","Sri Lanka",120
"KTGD Prasad","Sri Lanka",120
"MC Sorensen",Ireland,119
"A Johnson",Canada,119
"J Edness",Bermuda,119
"JW Jenner",Jersey,119
"Mustafizur Rahman",Bangladesh,118
"BJ Patel",Kenya,118
"HS Baidwan",Canada,117
"JR Hazlewood",Australia,117
"L Gregory",England,117
"MC Henriques",Australia,117
"LH Ferguson","New Zealand",115
"Sanwar Hossain",Bangladesh,115
"JN Gillespie",Australia,115
"MA Carberry",England,114
"RG Aga",Kenya,114
"TBM de Leede",Netherlands,113
"Tapash Baisya",Bangladesh,113
"DP Hyatt","West Indies",112
"MJG Rippon",Netherlands,112
"LP van Troost",Netherlands,112
"KD Shah","Hong Kong",112
"AR Berenger","United Arab Emirates",112
"AB de Villiers","Africa XI",111
"C Carter","Hong Kong",111
"SV Carlisle",Zimbabwe,110
"Taijul Islam",Bangladesh,110
"Nasum Ahmed",Bangladesh,109
"R Murray",Zimbabwe,108
"MJ McClenaghan","New Zealand",108
"JAR Blain",Scotland,108
"A Maregwede",Zimbabwe,108
"NA Saini",India,107
"RML Taylor",Scotland,107
"BA Parchment","West Indies",107
"RD Gaikwad",India,106
"RK Kleinveldt","South Africa",105
"DBL Powell","West Indies",105
"DA Minors",Bermuda,104
"D Elgar","South Africa",104
"L Balaji",India,104
"RP Singh",India,103
"JM Kemp","Africa XI",103
"B Muzarabani",Zimbabwe,103
"D Wiese","South Africa",102
"Ehsan Khan","Hong Kong",102
"AM Bacher","South Africa",102
"Yasir Ali Chowdhury",Bangladesh,102
"M Kartik",India,102
"M Ntini","South Africa",101
"XJ Doherty",Australia,101
"WK McCallan",Ireland,101
"MR Swart",Netherlands,101
"Shahzaib Hasan",Pakistan,100
"A Dutt",Netherlands,100
"Hamza Tariq",Canada,99
"CJ Bowes","New Zealand",99
"Saad Nasim",Pakistan,99
"Suhrawadi Shuvo",Bangladesh,98
"AC Evans",Scotland,98
"I Maraj",Canada,98
"HH Dippenaar","Africa XI",98
"SS McKechnie","Hong Kong",97
"AL Kandappah",Canada,97
"Z Crawley",England,97
"JL Ontong","South Africa",97
"D Myers",Zimbabwe,96
"RA Jones (2)","New Zealand",96
"RJ Trott",Bermuda,95
"Mohammad Naim",Bangladesh,95
"Aamer Yamin",Pakistan,95
"Junaid Siddique (2)","United Arab Emirates",95
"GEF Barnett",Canada,95
"PC de Silva","Sri Lanka",94
"TS Kamunhukamwe",Zimbabwe,94
"WB Rankin",Ireland,94
"CL Hooper","West Indies",93
"RS Gavaskar",India,93
"JA Richardson",Australia,93
"T Munyonga",Zimbabwe,92
"Yuvraj Singh","Asia XI",92
"JS Patel","New Zealand",91
"R Clarke",England,91
"JV Harris",Canada,91
"Mohammed Qasim","United Arab Emirates",91
"Krishna Chandran","United Arab Emirates",91
"GB Murgatroyd",Namibia,90
"S Mukuddem",Bermuda,90
"SK Atai","Papua New Guinea",90
"PBB Rajapaksa","Sri Lanka",89
"JDF Vandersay","Sri Lanka",89
"SR Hain",England,89
"Bilawal Bhatti",Pakistan,89
"JJ van der Wath","South Africa",89
"A Nehra",India,89
"TC Bastiampillai",Canada,89
"SE Findlay","West Indies",88
"Y Cariah","West Indies",88
"SS Cottrell","West Indies",88
"T Mupariwa",Zimbabwe,87
"SM Sharma","United Arab Emirates",87
"MA Agarwal",India,86
"FL Reifer","West Indies",86
"R Vinay Kumar",India,86
"BV Vitori",Zimbabwe,86
"NR Kirton",Canada,85
"NE Bonner","West Indies",85
"CD de Lange",Scotland,85
"A Kumble",India,84
"SI Mahmood",England,84
"JJ Atkinson","Hong Kong",84
"J Sumerauer",Jersey,84
"CJ Nevin","New Zealand",83
"KA Jamieson","New Zealand",83
"GH Bodi","South Africa",83
"DB Kotze",Namibia,82
"C Hemraj","West Indies",82
"GT Main",Scotland,82
"Shahid Wasif","Hong Kong",81
"Mahbubul Alam",Bangladesh,81
"PWA Mulder","South Africa",81
"AM Phangiso","South Africa",81
"Nasir Aziz","United Arab Emirates",81
"CM Wright",Scotland,81
"MR Gillespie","New Zealand",80
